year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2023,22,"KN/DVA/2023/22/450 | Karnataka | Davanagere | Food
Poisoning | 15 | 00 | 02-06-23 | 03-06-23 | Under
Surveillance | Case",other,2023,22nd 2023.pdf,4
2023,22,"KN/KPP/2023/22/452 | Karnataka | Koppal | Cholera | 32 | 00 | 03-06-23 | 04-06-23 | Under
Control | Cases reported from ",lepto_cholera,2023,22nd 2023.pdf,5
2024,22,"KN/CMN/2024/22/1066 | Karnataka | Chamarajanag
ar | Acute
Gastroenteriti
s | 34 | 0 | 31-05-2024 | Under
Surveillance | ",other,2024,22nd 2024.pdf,10
2024,22,"KN/CMN/2024/22/1067 | Karnataka | Chamarajanag
ar | Cholera | 45 | 0 | 27-05-2024 | Under
Surveillance | Cases reported ",lepto_cholera,2024,22nd 2024.pdf,10
2024,22,"KN/CKR/2024/22/1069 | Karnataka | Chikballapur | Acute
Diarrheal
Disease | 18 | 0 | 27-05-2024 | 27-05-2024 | Under
Surv",lepto_cholera,2024,22nd 2024.pdf,11
2024,22,"KN/CKR/2024/22/1070 | Karnataka | Chikballapur | Acute
Diarrheal
Disease | 41 | 0 | 31-05-2024 | 31-05-2024 | Under
Cont",lepto_cholera,2024,22nd 2024.pdf,11
2024,22,"KN/MYS/2024/22/1072 | Karnataka | Mysuru | Cholera | 0 | 28-05-2024 | 29-05-2024 | Under
Surveillance | Cases were repor",lepto_cholera,2024,22nd 2024.pdf,12
2023,23,"KN/BAU/2023/23/491 | Karnataka | BBMP | Acute
Diarrheal
Disease | 99 | 00 | 07-06-23 | 10-06-23 | Under
Control | Cases ",lepto_cholera,191,23rd 2023.pdf,4
2023,23,"KN/HAS/2023/23/492 | Karnataka | Hassan | Acute
Diarrheal
Disease | 12 | 00 | 06-06-23 | 07-06-23 | Under
Control | Case",lepto_cholera,2023,23rd 2023.pdf,4
2023,23,"KN/KPP/2023/23/494 | Karnataka | Koppal | Cholera | 34 | 00 | 05-06-23 | Under
Control | Cases reported from Village Bas",lepto_cholera,2023,23rd 2023.pdf,5
2023,23,"KN/KPP/2023/23/496 | Karnataka | Koppal | Cholera | 124 | 01 | 06-06-2023 | 07-06-23 | Under
Surveillance | Cases report",lepto_cholera,2023,23rd 2023.pdf,6
2023,23,"KN/KPP/2023/23/498 | Karnataka | Koppal | Cholera | 27 | 00 | 06-06-23 | 08-06-23 | Under
Surveillance | Cases reported ",lepto_cholera,2023,23rd 2023.pdf,7
2023,23,"KN/RCR/2023/23/500 | Karnataka | Raichur | Acute
Diarrheal
Disease | 21 | 00 | 07-06-23 | Under
Control | Cases reported",lepto_cholera,2023,23rd 2023.pdf,8
2023,23,"KN/UDU/2023/23/511 | Karnataka | Udupi | Acute
Diarrheal
Disease | 03 | 02 | 25-05-23 | Under
Control | Cases reported f",lepto_cholera,2023,23rd 2023.pdf,13
2024,23,"KN/CKR/2024/23/1125 | Karnataka | Chikballapur | Human
Rabies | 1 | 1 | 04-06-2024 | Under
Control | Case was reported f",other,2024,23rd 2024.pdf,6
2024,23,"KN/GDG/2024/23/1127 | Karnataka | Gadag | Acute
Diarrheal
Disease | 46 | 0 | 01-06-2024 | 06-06-2024 | Under
Surveillanc",lepto_cholera,2024,23rd 2024.pdf,7
2024,23,"KN/MYS/2024/23/1128 | Karnataka | Mysuru | Cholera | 62 | 0 | 04-06-2024 | 04-06-2024 | Under
Control | Cases were repor",lepto_cholera,2024,23rd 2024.pdf,7
2023,24,"KN/DHA/2023/24/523 | Karnataka | Dharwad | Acute
Diarrheal
Disease | 30 | 00 | 12-06-23 | Under
Surveillance | Cases rep",lepto_cholera,2023,24th 2023.pdf,7
2023,24,"collected and sent to PHI Lab, Bengaluru. | 24th 2023.pdf | 8",other,2023,24th 2023.pdf,8
2023,24,"KN/KPP/2023/24/525 | Karnataka | Koppal | Cholera | 25 | 00 | 15-06-23 | Under
Surveillance | Cases reported from Villag",lepto_cholera,2023,24th 2023.pdf,8
2023,24,"KN/SHI/2023/24/527 | Karnataka | Shivamogga | Cholera | 124 | 00 | 12-06-23 | 16-06-23 | Under
Surveillance | Cases repo",lepto_cholera,12,24th 2023.pdf,9
2023,24,"KN/VIJ/2023/24/529 | Karnataka | Vijayanagara | Suspected
Human
Rabies | 01 | 01 | 13-06-23 | 13-06-23 | Under
Surveilla",other,2023,24th 2023.pdf,10
2023,24,"KN/UDU/2023/24/537 | Karnataka | Udupi | Suspected
Human Rabies | 01 | 01 | 06-06-23 | Under
Surveillance | Case reporte",other,2023,24th 2023.pdf,14
2023,24,"KN/VIJ/2023/24/538 | Karnataka | Vijayapur | Acute
Diarrheal
Disease | 41 | 00 | 02-06-23 | Under
Surveillance | Cases r",lepto_cholera,2023,24th 2023.pdf,14
2024,24,"KN/BEG/2024/24/1201 | Karnataka | Belagavi | Cholera | 118 | 0 | 16-06-2024 | Under
Surveillance | Cases reported from S",lepto_cholera,2024,24th 2024.pdf,12
2024,24,"KN/GUL/2024/24/1203 | Karnataka | Kalaburagi | Acute
Diarrheal
Disease | 38 | 0 | 12-06-2024 | Under
Control | Cases rep",lepto_cholera,2024,24th 2024.pdf,13
2024,24,"KN/RCR/2024/24/1204 | Karnataka | Raichur | Malaria | 49 | 0 | 13-06-2024 | Under
Surveillance | Cases reported from Hea",dengue_malaria,2024,24th 2024.pdf,13
2024,24,"KN/HAS/2024/24/1243 | Karnataka | Hassan | Human Rabies | 1 | 1 | 04-06-2024 | Under
Control | Cases reported from Nittu",other,2024,24th 2024.pdf,28
2024,24,"NIMHANS, Bengaluru. | 24th 2024.pdf | 28",other,2024,24th 2024.pdf,28
2023,25,"KN/BEL/2023/25/568 | Karnataka | Ballari | Typhoid | 47 | 00 | 23-06-2023 | Under
Control | Cases of fever reported from",lepto_cholera,2023,25th 2023.pdf,12
2023,25,"KN/BEG/2023/25/569 | Karnataka | Belagavi | Acute
Diarrheal
Disease | 24 | 00 | 21-06-2023 | Under
Control | Cases repor",lepto_cholera,2023,25th 2023.pdf,12
2023,25,"KN/DHA/2023/25/571 | Karnataka | Dharwad | Food
Poisoning | 32 | 00 | 12-06-2023 | 22-06-2023 | Under
Control | Cases re",other,2023,25th 2023.pdf,13
2023,25,"KN/KPP/2023/25/573 | Karnataka | Koppal | Cholera | 27 | 00 | 21-06-2023 | 24-06-2023 | Under
Control | Cases reported f",lepto_cholera,2023,25th 2023.pdf,14
2023,25,"KN/CKM/2023/25/575 | Karnataka | Chikkamagaluru | Dengue | 14 | 00 | 13-06-23 | 17-06-23 | Under
Surveillance | Cases re",dengue_malaria,2023,25th 2023.pdf,15
2023,25,"KN/BEL/2023/25/577 | Karnataka | Ballari | Typhoid
Fever | 41 | 00 | 19-06-23 | 19-06-23 | Under
Surveillance | Cases re",lepto_cholera,7,25th 2023.pdf,16
2023,25,"KN/SHI/2023/25/578 | Karnataka | Shivamogga | Rabies | 01 | 01 | 22-06-23 | 22-06-23 | Under
Surveillance | Case reporte",other,2023,25th 2023.pdf,16
2024,25,"KN/KPP/2024/25/1271 | Karnataka | Koppal | Acute
Diarrheal
Disease | 43 | 1 | 18-06-2024 | Under
Surveillance | Cases we",lepto_cholera,2024,25th 2024.pdf,9
