year,iso_week,week_start,week_end,label,case_total,disease_buckets
2023,22,2023-05-29,2023-06-04,1,4046,"other,lepto_cholera"
2023,23,2023-06-05,2023-06-11,1,12329,lepto_cholera
2023,24,2023-06-12,2023-06-18,1,12150,"lepto_cholera,other"
2023,25,2023-06-19,2023-06-25,1,12145,"lepto_cholera,other,dengue_malaria"
2023,26,2023-06-26,2023-07-02,1,12143,lepto_cholera
2023,27,2023-07-03,2023-07-09,1,4046,"lepto_cholera,other"
2023,28,2023-07-10,2023-07-16,1,8092,lepto_cholera
2023,29,2023-07-17,2023-07-23,1,8092,"other,lepto_cholera"
2023,30,2023-07-24,2023-07-30,1,6069,"lepto_cholera,other"
2023,31,2023-07-31,2023-08-06,1,6072,other
2023,32,2023-08-07,2023-08-13,1,4079,"lepto_cholera,other"
2023,33,2023-08-14,2023-08-20,1,12142,"other,dengue_malaria,lepto_cholera"
2023,34,2023-08-21,2023-08-27,1,6184,"lepto_cholera,dengue_malaria,other"
2023,35,2023-08-28,2023-09-03,1,10591,"other,lepto_cholera"
2023,36,2023-09-04,2023-09-10,1,2205,lepto_cholera
2023,37,2023-09-11,2023-09-17,1,2023,lepto_cholera
2023,38,2023-09-18,2023-09-24,1,4046,"lepto_cholera,dengue_malaria"
2023,39,2023-09-25,2023-10-01,1,14173,"respiratory,other,lepto_cholera"
2023,40,2023-10-02,2023-10-08,1,8092,"other,lepto_cholera"
2023,41,2023-10-09,2023-10-15,1,4046,"other,dengue_malaria"
2023,42,2023-10-16,2023-10-22,1,4046,"other,dengue_malaria"
2023,43,2023-10-23,2023-10-29,1,2023,lepto_cholera
2024,22,2024-05-27,2024-06-02,1,10120,"other,lepto_cholera"
2024,23,2024-06-03,2024-06-09,1,6072,"other,lepto_cholera"
2024,24,2024-06-10,2024-06-16,1,10120,"lepto_cholera,dengue_malaria,other"
2024,25,2024-06-17,2024-06-23,1,12144,"lepto_cholera,other"
2024,26,2024-06-24,2024-06-30,1,16192,"lepto_cholera,other"
2024,27,2024-07-01,2024-07-07,1,12150,"other,lepto_cholera"
2024,28,2024-07-08,2024-07-14,1,8096,"lepto_cholera,dengue_malaria"
2024,29,2024-07-15,2024-07-21,1,6072,"other,lepto_cholera"
2024,30,2024-07-22,2024-07-28,1,2024,lepto_cholera
2024,31,2024-07-29,2024-08-04,1,6072,other
2024,32,2024-08-05,2024-08-11,1,2024,other
2024,33,2024-08-12,2024-08-18,1,12144,"other,dengue_malaria,lepto_cholera"
2024,34,2024-08-19,2024-08-25,1,6184,"lepto_cholera,dengue_malaria,other"
2024,35,2024-08-26,2024-09-01,1,10592,"other,lepto_cholera"
2024,36,2024-09-02,2024-09-08,1,2205,lepto_cholera
2024,37,2024-09-09,2024-09-15,1,2276,lepto_cholera
2024,38,2024-09-16,2024-09-22,0,0,
2024,39,2024-09-23,2024-09-29,1,2384,other
2024,40,2024-09-30,2024-10-06,1,4467,other
2024,41,2024-10-07,2024-10-13,1,2506,dengue_malaria
2024,42,2024-10-14,2024-10-20,0,0,
2024,43,2024-10-21,2024-10-27,1,10435,"respiratory,other,lepto_cholera"
