-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2024 in UTC
Location: latitude  12.9767   longitude 77.5753 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M               MERRA-2 Temperature at 2 Meters (C) 
RH2M              MERRA-2 Relative Humidity at 2 Meters (%) 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,IMERG_PRECTOT
2023,1,18.65,77.15,0.0
2023,2,18.83,81.6,0.0
2023,3,19.05,80.88,0.0
2023,4,19.25,80.87,0.0
2023,5,18.5,81.27,0.0
2023,6,19.14,82.8,0.0
2023,7,19.5,83.15,0.0
2023,8,19.05,80.76,0.0
2023,9,17.21,71.6,0.0
2023,10,16.9,75.23,0.0
2023,11,16.96,70.97,0.0
2023,12,17.98,65.29,0.0
2023,13,18.2,71.65,0.0
2023,14,17.78,68.18,0.0
2023,15,17.92,68.68,0.0
2023,16,18.59,68.52,0.0
2023,17,18.12,70.56,0.0
2023,18,18.42,73.63,0.0
2023,19,18.12,70.29,0.0
2023,20,18.66,79.34,0.0
2023,21,19.09,76.46,0.0
2023,22,18.95,70.76,0.0
2023,23,20.56,79.12,0.0
2023,24,20.8,75.6,0.36
2023,25,19.36,73.1,0.0
2023,26,19.4,70.79,0.0
2023,27,18.34,68.25,0.0
2023,28,18.62,63.19,0.0
2023,29,19.98,68.34,0.0
2023,30,21.06,77.03,0.02
2023,31,21.05,69.47,0.0
2023,32,21.18,62.72,0.0
2023,33,21.04,68.09,0.01
2023,34,22.09,69.86,0.0
2023,35,21.99,63.35,0.0
2023,36,22.14,62.21,0.0
2023,37,21.31,63.21,0.0
2023,38,21.3,61.93,0.0
2023,39,22.11,62.56,0.0
2023,40,21.7,62.96,0.0
2023,41,21.81,61.28,0.0
2023,42,22.14,53.37,0.0
2023,43,22.22,51.62,0.0
2023,44,21.94,51.59,0.0
2023,45,21.52,53.55,0.0
2023,46,21.57,53.13,0.0
2023,47,21.67,55.6,0.0
